product,review,date
Laptop,"This laptop is fast and reliable",2026-06-01
Laptop,"Battery drains quickly not happy",2026-06-02
Laptop,"Great performance for gaming",2026-06-03
Phone,"Camera quality is excellent",2026-06-01
Phone,"Screen cracked easily",2026-06-02
Phone,"Fast processor and smooth apps",2026-06-03
Headphones,"Amazing sound quality",2026-06-01
Headphones,"Uncomfortable to wear for long",2026-06-02
Headphones,"Best headphones for music lovers",2026-06-03
Smartwatch,"Tracks health metrics perfectly",2026-06-01
Smartwatch,"Limited battery life",2026-06-02
Smartwatch,"Very useful for fitness tracking",2026-06-03
Tablet,"Great for reading and streaming",2026-06-01
Tablet,"Performance is slow sometimes",2026-06-02
Tablet,"Perfect for watching movies",2026-06-03
TV,"Excellent picture quality",2026-06-01
TV,"Sound is not very clear",2026-06-02
Camera,"Takes sharp and detailed photos",2026-06-01
Camera,"Battery drains too fast",2026-06-02
Speakers,"Loud and clear sound",2026-06-01
Speakers,"Bass is very strong",2026-06-02
